product_id,name,price,quantity,description,production_date,expiration_date,rating,status
39,Севастопольская,8917,9,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2000-08-02,2019-02-04,2.24,On Backorder
49,Мороженое,4362,15,Помогает предотвратить дефицит витаминов и минералов в организме.,1992-01-06,1993-02-02,0.82,In Stock
52,Жемчужина Байкала,5574,22,Может использоваться в вегетарианской диете как источник белка.,2001-04-09,2011-03-04,2.03,Sold
66,Хурма,4930,30,Помогает поддерживать нормальный уровень гемоглобина в крови.,2018-01-28,2020-01-14,2.14,Available for Pickup
93,Консервированные бобы,1580,1,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-01-13,2020-02-07,3.54,Backorder
116,Пельмени,2111,33,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2022-02-10,2026-04-03,0.82,Available for Pickup
144,Подставки под столовые приборы,8326,6,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2018-11-03,2028-08-12,1.81,Available for Pickup
152,Мармелад,4399,23,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2020-01-02,2025-07-01,3.23,Pending
163,Редис,1966,38,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1996-05-11,2024-03-01,1.99,Cancelled
192,Ложки столовые,7471,37,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1994-11-07,1998-02-02,0.12,New
