Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Куриные бедра,8125,868,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1990-03-06,2020-07-03,0.97,Refunded
2,Кружки,3437,740,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,2009-01-04,2013-01-07,0.16,Temporarily Unavailable
3,Повидло,6964,50,Бакалея,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2007-06-02,2010-01-05,2.84,Pending
4,Клубника,7317,196,Фрукты,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2008-02-15,2011-09-16,2.98,Available for Pickup
5,Формы для выпечки,8999,543,Товары для дома,Способствует нормализации обмена веществ в организме.,1998-01-09,2011-08-12,4.85,In Stock
6,Салями,9369,153,Мясо,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2019-08-06,2025-04-04,4.71,Pending
7,Самарская,9611,856,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2014-02-12,2021-07-10,1.88,Temporarily Unavailable
8,Нектарин,2602,809,Фрукты,Помогает поддерживать нормальный уровень электролитов в организме.,2022-01-08,2022-02-06,2.57,Shipping
9,Инжир,4902,925,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-02-20,2015-07-03,1.89,Awaiting Payment
10,Сельдерей,1869,842,Овощи,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2021-01-01,2028-04-10,4.52,Cancelled
11,Колбаса вареная,5737,572,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,1997-03-06,2012-02-05,0.85,Shipping
12,Окра,6979,78,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1999-04-01,2029-03-08,3.78,Shipping
13,Орегано сушеный,8136,574,Бакалея,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1996-06-24,2002-04-07,0.78,In Stock
14,Мята перечная сушеная,6442,447,Бакалея,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-04-13,2023-01-04,0.7,Awaiting Review
15,Верблюжье молоко,617,507,Молочные продукты,Может использоваться в вегетарианской диете как источник белка.,2014-01-27,2027-01-13,1.3,Sold
16,Каша из овса,743,723,Бакалея,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1992-02-15,2026-07-03,2.69,On Backorder
17,Хлебопечка,8706,845,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-02-07,2013-06-04,1.98,In Stock
18,Чечевица,2487,249,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-03-15,2030-08-05,0.76,Available for Pickup
19,Банан,4282,162,Фрукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2003-02-05,2016-05-01,3.44,Refunded
20,Авокадо,4182,535,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2018-01-01,2018-01-01,3.99,Pending
21,Адыгейский сыр,7743,340,Молочные продукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2012-07-02,2022-03-01,2.67,Refunded
22,Соль,102,844,Бакалея,Используется в косметологии для ухода за кожей и волосами.,2011-04-01,2013-02-06,3.34,Delivered
23,Абрикос,8972,22,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",1995-11-19,2030-01-08,4.04,New
24,Клубника,4456,981,Фрукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2004-02-03,2022-01-16,4.27,Backorder
25,Burn,2896,647,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,1990-08-24,2026-05-03,3.49,On Backorder
26,Молоко,3681,794,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,2002-01-04,2020-01-06,2.46,New
27,Пастернак,6773,741,Овощи,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2013-02-13,2028-04-14,0.01,Shipping
28,Масло сливочное,4569,131,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2011-01-02,2020-03-05,1.5,Delivered
29,Мацеста,6355,370,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1999-09-05,2026-01-09,4.77,Sold
30,Латте,6762,507,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2016-03-05,2017-06-15,0.73,Cancelled
31,Укроп,2315,260,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1999-01-16,2023-04-10,1.21,Backorder
32,Белый перец молотый,5361,386,Бакалея,Идеален для перекусов между основными приемами пищи.,2013-08-01,2022-04-05,4.42,Out of Stock
33,Увинская жемчужина,1704,972,Напитки,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2022-08-01,2030-05-02,0.82,Pending
34,Смородина,4216,29,Фрукты,Способствует снижению уровня стресса и улучшению настроения.,1999-05-09,2023-01-03,3.17,Delivered
35,Березовский родник,1344,236,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2016-01-04,2019-03-02,4.61,Backorder
36,Пирожки с мясом,3023,91,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2018-07-03,2028-08-01,3.48,Temporarily Unavailable
37,Растительное масло тыквенное,1729,884,Бакалея,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2015-01-03,2015-04-07,2.04,Cancelled
38,Баранина,6983,202,Мясо,Представляет собой ценный источник питательных веществ для растущего организма.,2016-02-28,2025-12-16,2.5,Available for Pickup
39,Соль,8084,343,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1995-03-08,2016-01-10,0.32,Returned
40,Пакеты для семинара,8609,251,Товары для дома,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-03-05,2028-04-10,3.39,Returned
41,Мешки для мусора,6830,918,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1991-05-12,2014-02-22,0.38,New
42,Капуста белокочанная,4423,884,Овощи,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2003-02-02,2007-05-08,1.33,Delivered
43,Мелисса сушеная,7485,934,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2011-04-03,2025-01-18,1.81,Awaiting Review
44,Бамия,3222,836,Овощи,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2020-04-03,2022-01-03,2.43,Temporarily Unavailable
45,Киви,1576,707,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2000-05-11,2001-06-01,1.98,Delivered
46,Чеснок,4586,897,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-06-05,2020-11-12,2.25,Delivered
47,Адыгейский сыр,8388,520,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2002-04-06,2005-02-02,0.11,Refunded
48,Ласси,1451,778,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,1998-01-05,1999-01-01,3.69,Returned
49,Пакеты для бассейна,1879,915,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2015-01-13,2028-01-05,0.21,Backorder
50,Цветная капуста,4185,266,Овощи,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2021-08-02,2028-02-15,4.29,Out of Stock
51,Моцарелла,4648,819,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2013-02-12,2023-01-01,0.5,Out of Stock
52,Катык,6602,49,Молочные продукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1995-04-09,2008-05-14,0.53,Out of Stock
53,Ложки чайные,4494,786,Товары для дома,Отличается простотой в использовании и хранении.,1993-02-02,2002-05-15,4.41,Returned
54,Куриные ножки,8424,781,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2016-09-04,2028-10-04,0.58,Delivered
55,Банан,9239,526,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2010-10-03,2027-10-19,4.13,Out of Stock
56,Чизбургеры,7036,5,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1996-01-24,2011-03-05,2.12,Shipping
57,Ребрышки,9179,671,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2016-10-07,2024-03-05,4.38,Awaiting Review
58,Укроп,4000,950,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2000-02-16,2027-07-02,0.94,New
59,Туалетная бумага,2176,509,Товары для дома,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2002-06-03,2005-01-19,4.49,Returned
60,Лавровый лист сушеный,8697,812,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,2005-01-07,2009-01-06,2.88,Returned
61,Горчица зерновая,9531,930,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1993-02-05,2006-08-15,1.7,On Backorder
62,Батат,6643,204,Овощи,Способствует нормализации обмена веществ в организме.,2007-02-04,2029-05-01,1.18,Cancelled
63,Каша из дробленной ячневой крупы,3635,407,Бакалея,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2009-06-03,2015-02-09,3.92,New
64,Ножи столовые,4270,988,Товары для дома,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2022-11-01,2029-02-17,0.79,Available for Pickup
65,Ставропольская,4196,246,Напитки,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2004-03-10,2019-01-15,4.64,Refunded
66,Авокадо,5951,923,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",1992-04-10,1996-03-03,3.43,Shipping
67,Масло сливочное,7490,285,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1995-05-16,2024-03-26,2.27,Backorder
68,Тоник,9730,579,Напитки,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2014-02-03,2021-02-09,4.9,In Stock
69,Топинамбур,9762,752,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2012-01-01,2026-03-24,3.02,Temporarily Unavailable
70,Шафран молотый,131,660,Бакалея,Отличается низким содержанием насыщенных жиров и холестерина.,1994-06-18,2007-03-10,3.22,Returned
71,Каша из дробленной кускусовой крупы,3710,321,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1994-01-15,2004-07-09,0.21,Sold
72,Плечо,7053,406,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2021-10-10,2023-12-03,0.38,Awaiting Payment
73,Абрикос,8615,171,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2018-05-10,2021-01-11,0.5,Delivered
74,Рамбутан,2874,362,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2007-01-17,2014-01-10,0.98,Out of Stock
75,Йогурт питьевой,6885,479,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1997-06-02,2028-02-28,0.44,On Backorder
76,Феодосийская,7910,107,Напитки,"Отличается приятным ароматом, который усиливает аппетит.",1999-01-01,1999-04-07,0.54,Out of Stock
77,Малина,2161,571,Фрукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2006-02-15,2019-01-08,1.77,Sold
78,Грудинка,6531,373,Мясо,Помогает предотвратить дефицит витаминов и минералов в организме.,2019-02-04,2029-01-16,1.82,Out of Stock
79,Брюква,295,906,Овощи,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2022-01-16,2029-01-19,3.82,Backorder
80,Персик,7372,540,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2000-07-01,2006-05-16,2.2,Sold
81,Мате,5947,389,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2005-10-02,2029-10-18,4.31,Refunded
82,Какао-порошок,8956,196,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2009-01-11,2023-02-09,1.41,Returned
83,Авокадо,9759,921,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2005-09-05,2023-05-22,4.56,Cancelled
84,Наволочки,9845,356,Товары для дома,Используется в косметологии для ухода за кожей и волосами.,2007-04-24,2018-03-01,1.32,Returned
85,Пакеты для дня рождения,732,670,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,2018-04-27,2025-04-13,1.63,Cancelled
86,Смородина,1566,124,Фрукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2001-08-08,2009-01-04,2.73,Awaiting Review
87,Колбаса вареная,1450,924,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2016-05-04,2030-01-08,3.28,Temporarily Unavailable
88,Хурма,1032,457,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2005-04-03,2008-01-03,1.72,Cancelled
89,Пакеты для растений,8733,214,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,1998-02-09,2018-02-15,0.38,Backorder
90,San Pellegrino,1405,809,Напитки,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1991-01-11,2001-09-01,0.38,Available for Pickup
91,Марийская,3019,920,Напитки,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2014-01-02,2014-06-07,1.23,New
92,Грейпфрут,3157,766,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2009-08-01,2021-05-08,3.76,New
93,Эндивий,3153,48,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1991-11-08,2024-11-05,0.33,Temporarily Unavailable
94,Пунш фруктовый,4604,983,Напитки,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1996-01-07,2030-03-15,3.0,Available for Pickup
95,Мацони,6906,311,Молочные продукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2012-02-06,2022-03-02,4.6,Awaiting Payment
96,Мороженое,939,698,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2009-07-07,2022-01-06,1.2,Returned
97,Куриные крылышки,286,248,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2003-05-18,2021-01-07,0.13,Temporarily Unavailable
98,Пакеты для Нового года,2583,348,Товары для дома,Помогает поддерживать нормальный уровень кислотности желудка.,2022-04-06,2027-06-01,0.97,Pending
99,Сыр,5155,885,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,1999-02-15,2024-01-06,1.16,Cancelled
100,Нарзан,8816,661,Напитки,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2009-03-05,2014-01-01,0.19,Out of Stock
101,Бамия,2159,927,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-02-03,2024-04-06,1.3,Pending
102,Чечевица,729,784,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1991-06-03,2001-05-05,1.8,Refunded
103,Вяленое мясо,6960,747,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2014-03-01,2027-08-01,3.97,Out of Stock
104,Забайкальская,1920,909,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1999-03-08,2017-01-03,2.81,Backorder
105,Обуховская,4569,710,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2000-09-04,2020-01-04,0.96,Out of Stock
106,Стаканы,4695,818,Товары для дома,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1996-07-06,2017-02-24,0.34,Delivered
107,Сырокопченая колбаса,6943,615,Мясо,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2004-04-15,2007-06-10,2.43,Awaiting Payment
108,Буррито с мясом,1501,396,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2013-08-13,2025-01-03,3.23,Temporarily Unavailable
109,Кофе эспрессо,187,228,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2008-01-13,2023-01-04,1.25,Delivered
110,Белый перец молотый,2389,981,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2010-05-01,2016-06-06,4.9,Awaiting Payment
111,Катык,651,876,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1994-08-06,2009-08-03,1.75,Sold
112,Дыня,1082,759,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1998-02-04,2029-08-08,1.78,New
113,Матрасы,7053,967,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,1998-06-03,2029-08-15,3.0,Available for Pickup
114,Козлятина,5517,933,Мясо,Подходит для использования в диетических программах для похудения.,2021-02-09,2021-03-01,4.79,Shipping
115,Сок яблочный,4668,554,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2022-01-12,2024-04-03,2.96,Sold
116,Мягкие игрушки,9666,61,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2004-02-03,2027-01-27,1.7,Awaiting Payment
117,Простокваша,8277,29,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,1998-02-05,2002-02-11,2.42,Temporarily Unavailable
118,Блюдца,5672,375,Товары для дома,Способствует нормализации обмена веществ в организме.,2017-05-08,2025-07-22,0.66,New
119,Сырокопченая колбаса,7819,169,Мясо,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2015-04-04,2016-01-22,4.92,In Stock
120,Одеяла,9290,274,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2012-01-19,2028-05-12,4.61,Cancelled
121,Курт,7519,647,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,1998-09-05,2002-01-14,0.47,Awaiting Review
122,Пакеты для обуви,9070,635,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,1993-02-17,2010-02-01,1.47,Refunded
123,Плавленые сырки,2872,350,Бакалея,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1999-05-03,2004-08-01,4.51,On Backorder
124,Свекла,5239,650,Овощи,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1997-02-14,2025-09-07,3.59,Cancelled
125,Клюква,3748,727,Фрукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2013-01-04,2029-01-14,3.83,On Backorder
