product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Подставки под горячее,2801,786,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1990-03-10,1997-03-09,0.97,New
2,Ряженка,8894,610,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1991-01-05,1993-03-10,4.68,In Stock
3,Капуста белокочанная,4598,884,Овощи,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",1994-07-10,2025-01-17,1.25,Pending
4,Сыворотка молочная,5091,922,Бакалея,Широко используется в традиционной и современной кухне.,1991-05-04,1998-03-01,1.97,New
5,Ливерная колбаса,3986,216,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,2010-01-09,2010-05-07,0.95,Refunded
6,Горячий шоколад,9089,474,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2019-08-05,2020-02-02,0.58,In Stock
7,Апельсин,321,672,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2000-01-07,2029-09-02,2.79,Shipping
8,Яблоко,3181,764,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2022-02-20,2026-02-20,3.16,Cancelled
9,Саратовская,3724,465,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2009-05-02,2027-09-16,4.1,In Stock
10,Карамбола,5543,908,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,2020-09-02,2024-01-01,3.14,Temporarily Unavailable
11,Кавказская,7160,729,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1990-05-02,2025-05-09,0.45,Delivered
12,Кофеварка,7096,742,Товары для дома,Помогает поддерживать нормальный уровень pH в организме.,2017-01-12,2023-05-11,3.06,On Backorder
13,Пакеты для бассейна,7667,862,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2021-03-11,2028-01-08,0.54,Delivered
